"","x"
"Beta0",4.47966387876309
"BetaCoeff1",0.567085318631301
"Time1",1.30246900583107
"Gamma",0.775556196123541
"Rho",0.550424864183773
"N",170
"S_0",169
"I_0",1
"R_0",0
