"Beta0","BetaCoeff1","Time1","Gamma","Rho","N","S_0","I_0","R_0","loglik","loglik.se"
4.47966387876309,0.567085318631301,1.30246900583107,0.775556196123541,0.550424864183773,170,169,1,0,-60.516714402048,0.0558709857532778
4.2096970323472,0.236058664550688,1.35479531165389,0.794603827265973,0.535818458746229,170,169,1,0,-60.6149591413785,0.0523200527557676
4.44364874819652,0.570256781181899,1.25548356484873,0.815806734506579,0.563355052740287,170,169,1,0,-60.6170429441227,0.0398556616582909
4.58992205655298,0.737887012576426,1.31411074385003,0.756333670139749,0.571573862846543,170,169,1,0,-60.6370313039025,0.0505532383690499
3.96772966733005,0.656924621157577,1.44212141945007,0.788367405361417,0.586160249716066,170,169,1,0,-60.671184835462,0.0476085043193988
4.52375533823445,0.372792857746722,3.59805871051561,0.746706634012043,0.522517754964158,170,169,1,0,-60.6722944809205,0.0592653640905726
4.27326569737503,1.17341102282092,4.78639768001217,0.748165093830446,0.526509870525702,170,169,1,0,-60.6752219186056,0.0477633342390755
4.46010453988708,1.02564498246905,4.2688195494395,0.72462788569546,0.519687076276357,170,169,1,0,-60.6811535475684,0.0331447664981262
4.19581968639223,0.765548876168895,5.46988008223631,0.751346299390212,0.516929448638708,170,169,1,0,-60.6957969375768,0.0511798008155895
4.27203731227661,0.540949209976238,5.7292195028757,0.754378499447534,0.517137053284403,170,169,1,0,-60.6964106762298,0.0554257482627437
4.21572326057418,1.06739072105891,4.85327703241021,0.793714062441463,0.519621578689932,170,169,1,0,-60.698133655646,0.0249846908169945
4.40160768381198,1.50566933661933,9.7008232344022,0.750010920562142,0.523557799012935,170,169,1,0,-60.7121188292516,0.0566634366245712
4.31938904355683,2.12470185084058,9.03371991277201,0.764411839919253,0.515942074171231,170,169,1,0,-60.7155865704562,0.0403010146851073
4.32911001959039,0.89315424373708,13.4340677333437,0.790221716067519,0.519983816323347,170,169,1,0,-60.7519144282996,0.0493348790608909
4.3032044501244,2.21697245713514,7.06510939706188,0.762493402654519,0.521063621865417,170,169,1,0,-60.761385710588,0.0313214991997052
4.07282761184183,0.483008490723902,3.03312790972798,0.771096618772508,0.523002233090083,170,169,1,0,-60.766137857567,0.0514319038065662
4.77915941373104,2.49423176754957,12.7750304467839,0.724537519234954,0.515056866965815,170,169,1,0,-60.7695436609326,0.0411877287443502
4.08702559098111,2.53840618889272,3.64155923834856,0.754837157324937,0.526357326867889,170,169,1,0,-60.7707327834175,0.0260158786154603
4.17866509505225,0.399211655857444,3.37263650079178,0.759920573679993,0.526018554107024,170,169,1,0,-60.7724937226021,0.0549571373314372
3.91269031817103,0.449199564240827,14.9346795525473,0.834908561826685,0.517244694575264,170,169,1,0,-60.7827244290694,0.0479306896611577
4.3533606736449,1.72999640238036,16.1560879958067,0.780436288939094,0.521375224063019,170,169,1,0,-60.7873154530286,0.032086845703019
4.51269387710366,0.900134849210308,6.85531319221632,0.754339508248227,0.520694505574902,170,169,1,0,-60.7934692094639,0.0477369188292597
4.04732761926742,0.192299266088275,0.658024656940112,0.896276738618865,0.542412942367634,170,169,1,0,-60.822477295116,0.0375375204144672
4.0699235946611,1.0740442579593,8.01381435928418,0.792556635294723,0.519727241473719,170,169,1,0,-60.8239872226059,0.0433697645200971
4.69391092648826,0.798858861349538,3.02079906827438,0.729312262632852,0.527819191414261,170,169,1,0,-60.8306138816341,0.0468771218521373
4.10250341665642,2.51586104870238,22.7395014495475,0.785982497394274,0.530395262717851,170,169,1,0,-60.8414460135779,0.0191100877287622
3.86186873257715,0.529037646365,5.18724807724603,0.828552278704162,0.517908659867088,170,169,1,0,-60.8805445717874,0.0372214801867352
3.92483004013557,0.493665695623168,1.14921515481796,0.950930389508692,0.634723424926551,170,169,1,0,-60.9377410785083,0.0418330801034959
3.31632847076645,2.14252553525598,5.1024153214869,1.52935497115952,0.616683840353196,170,169,1,0,-60.9749362113276,0.0684937763187438
5.47683051161615,0.471934742556451,0.649491592399162,0.863869385912345,0.566408276980278,170,169,1,0,-60.997135358232,0.0560174838859227
3.61150662308795,1.15054438742767,15.9976836750658,0.997794801367175,0.53547764368144,170,169,1,0,-61.0253672767046,0.052499337218518
3.37887968954047,0.696407657621529,5.2109032857399,1.12097314901944,0.556331693092165,170,169,1,0,-61.1366163676203,0.0476273933958364
3.09326234756392,0.955291887730521,5.06537761413434,1.50235972362453,0.626538444032276,170,169,1,0,-61.1449813810507,0.0665627456075148
3.38031411942054,0.911003815250626,4.63074405994995,1.17923951996705,0.563722719900979,170,169,1,0,-61.1528014409977,0.0441645052908456
3.22017010567359,0.478645756762435,5.29544061703265,1.51284243678257,0.631535518823559,170,169,1,0,-61.1554882320876,0.0934368977561262
3.37082322112489,1.30333625201814,4.9546397533897,1.20348648247882,0.543789982527185,170,169,1,0,-61.2288852876429,0.0479401541791912
3.30566095317566,0.939629043752587,4.78338649211573,1.84996130924503,0.690095506421989,170,169,1,0,-61.2444381900584,0.097782039735586
5.76492308021712,0.945193277213191,4.12182657817152,0.625689237456561,0.522810759464282,170,169,1,0,-61.2515374261096,0.0383134715806981
3.26266003650878,0.384960749726223,1.27864920600657,1.07100212311178,0.702856281655297,170,169,1,0,-61.262180953408,0.0716735959469867
3.33166123557984,0.455164699617573,4.8058699501926,1.40604966088512,0.584789263916826,170,169,1,0,-61.2667387116695,0.0754871358675634
3.22003849677389,1.49011230607504,10.1573630807317,1.3726766687787,0.590870596977102,170,169,1,0,-61.2847408686516,0.0783383293106667
3.3982332293149,0.706988889979966,12.9702437362355,1.06303587003267,0.536208462122707,170,169,1,0,-61.3058283240145,0.0469803742535362
3.21698916771564,1.88009305320656,8.47816917599358,1.46970281975836,0.608857370746455,170,169,1,0,-61.3238533983602,0.0747082829517765
3.35162868564929,0.522689680215366,9.15868946876428,1.58757452795139,0.617916168759044,170,169,1,0,-61.3808432173477,0.0706098264832156
3.26442654374666,0.510579762444887,5.96898081263391,1.550675011978,0.616276751941945,170,169,1,0,-61.4013997682222,0.103412646001731
3.32359144522294,0.356606787494587,5.09778906486664,1.83786987478064,0.673790940462343,170,169,1,0,-61.4105524997499,0.0976207198346209
3.33174874453633,0.199251791830237,8.89414566883448,1.57337810894058,0.614299953317465,170,169,1,0,-61.4392461945288,0.0597656166186783
3.38912812018779,0.222781639011122,4.82567981040417,1.8785523173387,0.671421459429211,170,169,1,0,-61.4805605652032,0.120928848090234
3.04738099622275,0.286993185319651,5.93194971470042,1.5022315386064,0.618535576412447,170,169,1,0,-61.4850146451447,0.064192371995882
3.33444793078992,1.58740548429535,8.32804394555328,1.77936644775643,0.677304754096635,170,169,1,0,-61.5183518796402,0.157232751331228
