"","x"
"Beta0",3.95147272635253
"BetaCoeff1",2.31795080276861
"Time1",2.49658116663301
"Gamma",0.544520083937235
"Rho",0.164019877244032
"N",200
"S_0",199
"I_0",1
"R_0",0
