"Beta0","BetaCoeff1","Time1","Gamma","Rho","N","S_0","I_0","R_0","loglik","loglik.se"
3.95147272635253,2.31795080276861,2.49658116663301,0.544520083937235,0.164019877244032,200,199,1,0,-23.4900200575827,0.0324145475279644
3.39228989030549,3.05230485521763,2.13233582977981,0.536405381573225,0.262707492697455,200,199,1,0,-23.7239233786828,0.0262922667953417
4.37541278846135,1.65805408234507,22.3673634964806,0.52945326656912,0.149891207071401,200,199,1,0,-23.7673795858792,0.0253289177462858
4.42938430227782,1.01992752880445,29.021824418535,0.520684467704521,0.148661610191833,200,199,1,0,-23.7695062356593,0.0160912194623088
4.47670622338055,1.15184847237031,7.52481166134747,0.531519537749602,0.149079404456372,200,199,1,0,-23.7735128235443,0.0200101405958144
4.50043223073478,0.573287183329801,11.879746329468,0.526614029184481,0.150001551511882,200,199,1,0,-23.8062425306341,0.0212208816360772
3.15062754188393,3.20003724358948,2.08479706893202,0.529531809448781,0.329270792229726,200,199,1,0,-23.8718775680052,0.0356697291160032
2.78398324026836,4.92207182447582,2.17669777485014,0.545090603120701,0.468177923218012,200,199,1,0,-23.9384780062805,0.0475116059175444
2.43910419761286,4.81776832430979,2.20268047856201,0.514001292764969,0.618859427663351,200,199,1,0,-24.1389555601879,0.10191725981736
2.03768845782679,2.52628355895099,2.09096314633816,0.570060012973303,0.675355325380135,200,199,1,0,-24.7978963147509,0.127782597909479
2.64050700258046,2.64394780264695,1.85658410456487,0.475471219682418,0.741326751828123,200,199,1,0,-24.8588046224526,0.174065205218601
2.22276413606803,5.95148772104954,2.27433645341564,0.469706498753947,0.993595558612268,200,199,1,0,-25.0835581529683,0.672053472902104
2.70042570555392,1.64830999911326,1.68373786675942,0.52655723716655,0.687557758948222,200,199,1,0,-25.3355238656157,0.128212366967128
2.62847553758489,1.27664341603322,1.71793508147277,0.610720318149497,0.501708621237069,200,199,1,0,-25.6242185448572,0.0923226114417692
2.38641790241482,1.05756823470885,1.61267801621479,0.600130161279389,0.495717350978425,200,199,1,0,-25.8833455210487,0.0812247117306468
2.24178520140804,1.29772994528294,1.79925569896984,0.607802217316594,0.887976000200273,200,199,1,0,-25.9234298306047,0.20256895997522
2.34875962212146,1.24017889448536,1.86100933809825,0.622277995080604,0.597190858087967,200,199,1,0,-26.0138650799028,0.0847167363298699
2.13263016724868,1.38791268060878,2.06975784124421,0.683531714727868,0.849464939721723,200,199,1,0,-26.441133875512,0.193110894968003
1.90302426377822,2.13565585786115,2.38925361823207,0.813293027867786,0.645245603897199,200,199,1,0,-27.3885942263931,0.196948189036274
2.61804904054913,0.243144305928245,1.79571147908922,0.795605599751922,0.19577229034119,200,199,1,0,-27.4683463829889,0.0520915207753615
2.85748473258072,0.643867044813098,0.312316048914551,0.693316302154951,0.873710538232125,200,199,1,0,-27.6029790625293,0.268773719401204
1.22631127610265,1.51311947600756,2.14867669653941,0.525275969382051,0.873744791332408,200,199,1,0,-27.6823718986039,0.486960621787612
