"Beta0","Beta1","Gamma","N","S_0","I_0","R_0","Rho","loglik","loglik.se"
1.35565371181254,6.00565100445434,0.00737657449046069,590,256,4,330,0.95,-47.1673740816576,0.0685419666990333
1.27606470990921,6.541342082435,0.00744298217842438,590,256,4,330,0.95,-47.1993714281672,0.0317025500773641
1.44075500429955,5.63532424838448,0.00728053964574546,590,256,4,330,0.95,-47.2089242656259,0.0600817205802952
1.41182597710093,6.72262661510961,0.00732690170205861,590,256,4,330,0.95,-47.2124204469308,0.0512220251286471
1.43585215284791,4.64593658179329,0.00741765132880279,590,256,4,330,0.95,-47.2641410655443,0.0522319570066607
1.44262631055013,5.84715612477192,0.00752773163925145,590,256,4,330,0.95,-47.2667418802118,0.0444595156870737
1.41101492610292,7.5184150855875,0.00731932066297895,590,256,4,330,0.95,-47.3058197550506,0.0498178622868293
1.35370659174197,9.72103700762455,0.00744113409469249,590,256,4,330,0.95,-47.3221755729317,0.0517203890278099
1.40249230383975,6.43165083546061,0.00753569092423957,590,256,4,330,0.95,-47.3280146932107,0.0324217837374464
1.36911771288831,9.6861228035904,0.00732163407072678,590,256,4,330,0.95,-47.3325393367868,0.0382671081815761
1.43002762096759,6.10316753475215,0.00696921495496889,590,256,4,330,0.95,-47.3563994162167,0.0537717456594093
1.32278768065448,7.48913710726959,0.00707268259994283,590,256,4,330,0.95,-47.3588822608607,0.0218406557239022
0.136452257527525,0.867880294052342,0.207935886253245,590,256,4,330,0.95,-48.5407185356612,0.074293773097243
0.161945139022538,0.787890097460294,0.191519188999,590,256,4,330,0.95,-48.5483396286443,0.101643938512927
0.162107401003508,0.834123183325242,0.205032244447151,590,256,4,330,0.95,-48.5484068445305,0.0631792082591481
0.146160474205766,0.839641400497994,0.197226622020772,590,256,4,330,0.95,-48.5737149907221,0.0766778394530027
0.160190812792759,0.789324205571242,0.184495745702112,590,256,4,330,0.95,-48.5741228458592,0.0797581653059704
0.159077976640913,0.773747116141552,0.19086079477861,590,256,4,330,0.95,-48.5902481398648,0.0859119713276618
0.148736370790978,0.796391750132657,0.20495873095243,590,256,4,330,0.95,-48.5905463745939,0.124610910275606
0.157108666807474,0.808387461743595,0.198926992656475,590,256,4,330,0.95,-48.5913768620288,0.0703472849483073
0.137959785824364,0.866700346702157,0.195718578745976,590,256,4,330,0.95,-48.6007490075128,0.0808448131603382
0.140482585184608,0.802674192455403,0.19908167739101,590,256,4,330,0.95,-48.6009028838846,0.0911270198139288
0.158341820121549,0.827798228193518,0.206830553688411,590,256,4,330,0.95,-48.6077830937888,0.0885827944596355
0.197718440393221,0.725237706249291,0.185660869371202,590,256,4,330,0.95,-48.6102096214724,0.073969151887631
0.161032812147378,0.736626459505121,0.186876472701641,590,256,4,330,0.95,-48.6130430519636,0.0783236322621374
0.140919214856295,0.831637751323722,0.207162750861331,590,256,4,330,0.95,-48.6147780085546,0.0883057214541585
0.130057086410611,0.804834268602807,0.189903934733462,590,256,4,330,0.95,-48.6183537272745,0.0754592414835857
0.129124802771576,0.796542071679519,0.1985219762538,590,256,4,330,0.95,-48.6295474285775,0.0763328703204185
0.143395205112179,0.808085169004139,0.188709661601641,590,256,4,330,0.95,-48.6306967146174,0.103817650281836
0.133105081563969,0.826509555382403,0.196175425471016,590,256,4,330,0.95,-48.631615153128,0.0674525211195459
0.186718076292837,0.709733070783095,0.195535048894658,590,256,4,330,0.95,-48.6317982006082,0.065777058309144
0.123259404458277,0.85342784998372,0.193406715607555,590,256,4,330,0.95,-48.6318879278596,0.0896152599650304
0.138445888364764,0.859544288067234,0.190272242773459,590,256,4,330,0.95,-48.6388991664523,0.0629988006209193
0.110524150551771,0.843141562570315,0.207853806174181,590,256,4,330,0.95,-48.6411410876778,0.0898602235872077
0.0827171029554159,0.899948829950614,0.207684396083171,590,256,4,330,0.95,-48.6497698759976,0.0740321600005116
0.139931644007005,0.852112239881148,0.201774039805358,590,256,4,330,0.95,-48.6517709117812,0.0618784734992616
0.110842773105165,0.90093514435483,0.202120691411019,590,256,4,330,0.95,-48.6528651444991,0.0476409446484443
0.159562999463257,0.779369062503018,0.188521341101375,590,256,4,330,0.95,-48.6619875355394,0.0775875221802321
0.168699147384681,0.725796169933748,0.177334015070941,590,256,4,330,0.95,-48.6624776207928,0.0418049876299902
0.161743996105072,0.829643654333289,0.21042485427909,590,256,4,330,0.95,-48.6692182065474,0.0601516002476649
0.161369861212633,0.773793150625894,0.204273952366805,590,256,4,330,0.95,-48.6746824318023,0.0792247938455685
0.210231403624858,0.69482168898973,0.179359480332452,590,256,4,330,0.95,-48.6813109564764,0.0863640126115097
0.140308396875109,0.783815674573927,0.190117693596632,590,256,4,330,0.95,-48.6865500512896,0.112468094731252
0.117179203855388,0.861049463705009,0.20597759091637,590,256,4,330,0.95,-48.6905721688493,0.0771081853345081
0.183605976264257,0.782728225681843,0.189380606725992,590,256,4,330,0.95,-48.6916415074504,0.0824184963388064
0.108662706890241,0.875549773111527,0.198256496886443,590,256,4,330,0.95,-48.69385255936,0.0852650168438189
