"Beta","Gamma","Rho","N","S0","I0","R0","loglik","loglik.se"
4.49509749200196,0.757668167019693,0.521742985562773,170,169,1,0,-60.6542444118462,0.034298424284088
4.52884084857998,0.740552949380337,0.519239268572581,170,169,1,0,-60.6662037399573,0.0427025584625021
4.4127000547896,0.749733212129457,0.525994766588353,170,169,1,0,-60.6711686824194,0.0337597656401117
4.44094535506374,0.750971508846299,0.516621743520707,170,169,1,0,-60.6783224086824,0.046399881111407
4.35164403634935,0.761954792710419,0.516980370340091,170,169,1,0,-60.6806308053824,0.0297612672609902
4.4332658362833,0.732845009599416,0.522006826573058,170,169,1,0,-60.6815291353824,0.0546948584452977
4.5124249861405,0.734140850653302,0.523681089119625,170,169,1,0,-60.6912092436778,0.0263921967084001
4.43648466213248,0.761477209449913,0.522585626662602,170,169,1,0,-60.6958400946284,0.0422285062732906
4.63780213185851,0.736939869187961,0.520275142371491,170,169,1,0,-60.7009408512376,0.0348896805945135
4.39701503616886,0.756455783110464,0.520561796472256,170,169,1,0,-60.7010506129588,0.0342083769361676
4.45020084768246,0.738823258993682,0.519402660989437,170,169,1,0,-60.7037660712943,0.0445165960447164
4.50127505412777,0.724877542018109,0.513905827308846,170,169,1,0,-60.7100752932208,0.0298668806006861
4.15722353496605,0.768792854426809,0.523540521799032,170,169,1,0,-60.7109724643569,0.0273628283303282
4.35742380448807,0.764117980572506,0.520497272183679,170,169,1,0,-60.7128193602677,0.0535589333724606
4.61157556253472,0.730255911112976,0.516648727230141,170,169,1,0,-60.7190415328815,0.0453751098200041
4.38399016014673,0.734569232110066,0.518836709831819,170,169,1,0,-60.7206399080133,0.0508468101107439
4.13980030107714,0.812201236389789,0.51493680851672,170,169,1,0,-60.7226540234879,0.0446619281698074
4.56018527199604,0.715436816268018,0.509828396588609,170,169,1,0,-60.7349568821588,0.0369668729566223
4.36166617685693,0.751210190321631,0.516760235559572,170,169,1,0,-60.7378785960206,0.0339763972971037
4.48038405752864,0.716518142353149,0.51533414564359,170,169,1,0,-60.7460923165926,0.0644365744363624
4.39677370000652,0.769626570536286,0.516718660810931,170,169,1,0,-60.7478006494631,0.046913268965074
4.2392313435608,0.777555281921582,0.516382216708327,170,169,1,0,-60.7531875478834,0.0462255391734182
4.35251540530692,0.782626740769282,0.520802343160611,170,169,1,0,-60.7694656158652,0.03132521334909
4.80752480850377,0.675067617579647,0.525401114194778,170,169,1,0,-60.773845327554,0.0547362953896708
4.04698594640017,0.815331101051871,0.516714848068039,170,169,1,0,-60.7747421779692,0.0459797602952216
4.12227221445645,0.785473610097642,0.526435960137351,170,169,1,0,-60.7779368642262,0.041981795187815
4.37481872829945,0.761889595045216,0.527388334100822,170,169,1,0,-60.7829280738987,0.0361481800916094
4.62414930224838,0.740166647035512,0.52348470643535,170,169,1,0,-60.789305963591,0.060561061384559
4.30659121707788,0.760301982667483,0.532783089498029,170,169,1,0,-60.7901584348384,0.025716043050152
4.10975952071533,0.805501512216957,0.523243995049964,170,169,1,0,-60.8019123168376,0.0370554143753939
4.25958037490981,0.809199247318898,0.512335008114261,170,169,1,0,-60.8161207755754,0.0254193834527653
4.25496555780539,0.746704019343504,0.511119077702648,170,169,1,0,-60.8412947468141,0.056627716762726
4.05729423614911,0.809769975275426,0.523552601396819,170,169,1,0,-60.8677234788901,0.0381259334259261
