"Beta0","BetaCoeff1","Time1","Gamma","N","S_0","I_0","R_0","Rho","loglik","loglik.se"
0.457595585526656,1.0885455988333,18.5511867445673,0.109832876661001,590,256,4,330,0.95,-45.3771056461951,0.135812183837336
0.463230647897749,1.40227762628443,18.527688434595,0.120502503211117,590,256,4,330,0.95,-45.4073616062161,0.113276306553983
0.497495624516758,2.00569064947042,18.2499989909487,0.113895840896757,590,256,4,330,0.95,-45.4434336802928,0.0845242064948489
0.483173233134033,1.17532779850947,17.9349509213584,0.107517733956007,590,256,4,330,0.95,-45.4846469839415,0.0679334584645934
0.510621650207324,0.703276665747704,17.8319657900648,0.117471318023634,590,256,4,330,0.95,-45.4852461815464,0.117051680837431
0.495719646776501,1.22387055120692,18.6997163857165,0.110642486939204,590,256,4,330,0.95,-45.4994969716268,0.0989706847816206
0.506827002985518,2.62839385686093,18.2460066657488,0.110096881854372,590,256,4,330,0.95,-45.5331588679743,0.0940294744349981
0.472484337511812,1.2387354066461,18.5771616822754,0.106138331519294,590,256,4,330,0.95,-45.5368167710455,0.123707917955626
0.45058201586131,1.59040121248004,18.229510723476,0.104846634243097,590,256,4,330,0.95,-45.537065241617,0.0845697567548829
0.477984641374111,2.07874775686951,19.2589787298916,0.115435503331418,590,256,4,330,0.95,-45.5481295926472,0.0904543291171263
0.429401952248608,1.0865873166433,18.3634359228671,0.102025209289057,590,256,4,330,0.95,-45.5685712344152,0.0698228963934427
0.434833071577694,1.37369271310342,18.4925580737316,0.104918219509833,590,256,4,330,0.95,-45.5819966552588,0.106492620224982
0.457618687179306,0.670193318202248,18.4436280813018,0.116840681553122,590,256,4,330,0.95,-45.5825335201457,0.0936914020650457
0.492204145078774,1.26020088574517,18.4146403899365,0.116716157762192,590,256,4,330,0.95,-45.5897804275435,0.0720001751153024
0.467280532278825,5.07273862117984,19.0776038098911,0.104585082013441,590,256,4,330,0.95,-45.600898644622,0.0656517559708893
0.465183302824573,0.983393814227764,17.7196681668093,0.111482736802266,590,256,4,330,0.95,-45.6053743688506,0.0917743880781622
0.509723094098535,0.95850629589861,18.3878041225902,0.109406706859753,590,256,4,330,0.95,-45.6064190477616,0.0727516986789882
0.509669292181594,2.96497735185317,18.3024234130067,0.114028471614394,590,256,4,330,0.95,-45.6327286564102,0.116839279868417
0.506208051843067,1.41755495745863,18.1918560462959,0.109864969377049,590,256,4,330,0.95,-45.6415756363434,0.0825915401235361
0.472023673362858,0.943962258661037,18.7514064332469,0.113790058452805,590,256,4,330,0.95,-45.6550635742545,0.0939483376892225
0.506723141318027,0.855663398645263,16.849567952251,0.0990993226978545,590,256,4,330,0.95,-45.6624847078074,0.118473079993872
0.469907986939975,0.789588213878587,17.8654864940454,0.107472653261661,590,256,4,330,0.95,-45.6708880745101,0.0974842080875018
0.428306855279637,1.46301111056475,17.7817233011932,0.0991668191303979,590,256,4,330,0.95,-45.6720034116855,0.0802692992465214
0.499590584817669,1.77036479667459,19.7487959553093,0.12892097194641,590,256,4,330,0.95,-45.6735516949089,0.0796442919889236
0.493084169316806,0.851312597333117,17.5386494664668,0.108961855654938,590,256,4,330,0.95,-45.6735738698691,0.0902340483645329
0.443015527119853,5.66406370553821,18.8138747530558,0.0977255936394792,590,256,4,330,0.95,-45.6802760484454,0.0840279537340954
0.455642000288215,0.914286914794764,18.0227201975037,0.10140476653287,590,256,4,330,0.95,-45.685555068532,0.0742632140112884
0.477706497924981,3.27757251094084,18.7758681616828,0.116336233400976,590,256,4,330,0.95,-45.6923317346146,0.0773795790214915
0.48693046106559,1.39036519952125,17.7422274186695,0.0956870871149198,590,256,4,330,0.95,-45.70679413605,0.0727149112993156
0.511276328387729,0.519771864836879,17.8409731478217,0.121087416540075,590,256,4,330,0.95,-45.707983518929,0.0864755285214234
0.454586206614564,1.36111210088747,19.4430346051926,0.110162201968664,590,256,4,330,0.95,-45.7181249956993,0.10570451911426
0.488227843702988,0.826621904471468,17.2065578418583,0.105641888364851,590,256,4,330,0.95,-45.7725733164944,0.0840977880963477
0.477813142872764,3.58027966160692,18.9810159449347,0.0896840321953639,590,256,4,330,0.95,-45.8336626506635,0.0669919703342119
0.46355830021318,1.6915144329205,17.5065671115307,0.100998597830248,590,256,4,330,0.95,-45.8410390937167,0.0651067584572185
0.476454112003545,0.552874342010321,16.717233705729,0.10776013107735,590,256,4,330,0.95,-45.8576385240332,0.0817090713950498
0.443258884326026,0.750851759875061,17.5868945753245,0.117075849717978,590,256,4,330,0.95,-45.8876831164955,0.0671465146846102
0.53535015832971,1.99256504996086,19.3903821617546,0.148182263973674,590,256,4,330,0.95,-45.8896854868845,0.113780335963123
0.477088328609965,0.446603895678628,15.9045845687416,0.0980046233197872,590,256,4,330,0.95,-45.900287940543,0.0947479962196359
0.429211981387367,0.582569407101371,16.4964453033324,0.0937537971372407,590,256,4,330,0.95,-45.954157263494,0.0812392866325734
0.479041259069141,1.07987858245177,19.7651281899728,0.0992691242934567,590,256,4,330,0.95,-45.976233951744,0.131400820928615
0.440418109459367,1.00535404331956,17.3619175434312,0.111496027803574,590,256,4,330,0.95,-45.9813870987029,0.08254619133943
0.435786482037183,0.64941089192258,17.6803415673844,0.099040089325116,590,256,4,330,0.95,-45.9956480743976,0.0584174709615954
0.438387467646295,0.501491738150797,17.795648108069,0.109475190349905,590,256,4,330,0.95,-46.0139759934449,0.103482356625306
0.520869586513648,0.457425708700948,15.4472348215253,0.100170806936769,590,256,4,330,0.95,-46.0228694048027,0.0470110750590033
0.500850083497858,1.17437458452939,19.5447428811345,0.111732165737523,590,256,4,330,0.95,-46.0588308821109,0.125375996442321
0.482556103964675,3.15180101575139,16.7690927500971,0.0974991250747335,590,256,4,330,0.95,-46.067613829727,0.138141368387939
0.497902501312907,0.321476498654791,14.9737867531196,0.102989191017945,590,256,4,330,0.95,-46.0709148225615,0.143812219730114
0.537543644124982,0.242650452211118,12.677213815314,0.101591372144179,590,256,4,330,0.95,-46.1077544881235,0.0648080308494522
0.509965753192419,0.288515625203661,15.0841739165164,0.0971661389974216,590,256,4,330,0.95,-46.1429715815096,0.136780520086799
0.556045813476317,0.251793976727168,10.1388850172371,0.0770873791900511,590,256,4,330,0.95,-46.1438558976412,0.084477249440732
0.45758163920275,0.357351530036092,15.001376641714,0.100377783208276,590,256,4,330,0.95,-46.208555043456,0.0909694290487948
0.531757434569612,0.777613295023676,18.9086627204922,0.148704420044058,590,256,4,330,0.95,-46.2301468197936,0.0874512681272985
0.546283309455713,0.218404956385729,11.6479247084493,0.0899160034932843,590,256,4,330,0.95,-46.2575819381002,0.114771809976547
0.564576009886205,0.405266275177184,12.8949368518512,0.0879639093317581,590,256,4,330,0.95,-46.2652371838595,0.0733179970068589
0.471933313776771,0.278658103502882,14.1397144254945,0.0930376482466624,590,256,4,330,0.95,-46.276506153966,0.115658793074838
0.523610159040385,0.178393320760819,11.7811149259425,0.0931592051099636,590,256,4,330,0.95,-46.2886846847366,0.0741715135681938
0.546070781222244,0.196789854268854,10.4121713674634,0.0873630650338603,590,256,4,330,0.95,-46.2887177775241,0.145268952674228
