"Beta0","BetaCoeff1","Time1","Gamma","N","S_0","I_0","R_0","Rho","loglik","loglik.se"
3.09129993278034,0.758665089755982,1.15963174876995,0.864732071065339,170,169,1,0,0.95,-61.7261676404608,0.189079626020865
3.72428551952747,0.956233251997947,1.17354238417353,0.882385931404404,170,169,1,0,0.95,-61.9258302935565,0.212803487568771
2.89556681134705,0.375416057017288,1.30958398274619,1.28976412531219,170,169,1,0,0.95,-62.013086655272,0.070774293383395
3.58764629745321,0.933181055241638,1.38117496339916,0.918633635639561,170,169,1,0,0.95,-62.0219276683036,0.151136178579307
2.81167108852937,0.576708626031869,1.11336180776376,0.946239758763859,170,169,1,0,0.95,-62.0429931709336,0.157847745242893
2.87549070032137,0.222107836915505,1.42295512532424,1.58761440799846,170,169,1,0,0.95,-62.0791374697544,0.11926858217587
3.31412452584239,0.291806162097212,0.24092130809785,1.13556710036844,170,169,1,0,0.95,-62.1864083980825,0.17150919510844
3.46911557865814,0.654319092144657,1.12830707593812,0.921984505131248,170,169,1,0,0.95,-62.2659292173275,0.150006548308818
2.95593394357298,0.146161211807088,1.43431663732756,1.74077154668004,170,169,1,0,0.95,-62.2688572037533,0.158669830078151
2.80040161042778,1.61730221943392,4.78562177526909,1.9370438988195,170,169,1,0,0.95,-62.3052634908197,0.174189683203752
2.72992720863851,0.86101619387996,4.58898231815349,1.75085723545491,170,169,1,0,0.95,-62.3855016545045,0.149556131808934
2.75260403479691,0.339612555132849,10.2540863713657,2.13172274675537,170,169,1,0,0.95,-62.3885280998928,0.166032764314804
2.90699096108311,0.621536724150742,3.84501905461011,1.96421981777046,170,169,1,0,0.95,-62.3932349186216,0.243846661963977
2.84647765964291,1.66362976579878,4.82064459298977,2.26455543963047,170,169,1,0,0.95,-62.4424976750653,0.158168399835484
3.05879541021734,0.0676226137577463,3.54712511836665,2.24938736431266,170,169,1,0,0.95,-62.4662705358407,0.125155117908569
3.06301097412079,2.11791879475967,1.6324453914084,0.724004580040679,170,169,1,0,0.95,-62.4899429711176,0.198950471965609
2.74518852413546,0.421597628124975,4.96883328435477,2.08968316724604,170,169,1,0,0.95,-62.5054593664731,0.145879037637529
2.7423839256459,1.15191081526714,8.53906921464919,1.96307430267174,170,169,1,0,0.95,-62.5534951080007,0.197705613952443
2.98259287096392,0.148464229318098,1.21967049701355,1.56604459151065,170,169,1,0,0.95,-62.5668723469507,0.136357275690284
