"Beta","Gamma","Rho","N","S0","I0","R0","loglik","loglik.se"
4.29387643978644,0.532914645089991,0.152266352431426,200,199,1,0,-23.7406447976756,0.0143351130221899
4.43250155406491,0.543632339350745,0.15116022447706,200,199,1,0,-23.7438881692223,0.0232060891769916
4.48913641449757,0.52486707396841,0.148217296829007,200,199,1,0,-23.7492857565495,0.0209366719113819
4.4712220872825,0.527673380129379,0.148587201970881,200,199,1,0,-23.7512139857639,0.0153615720066046
4.4109493163736,0.534853907172429,0.151811466627369,200,199,1,0,-23.7521783521134,0.0204699970790883
4.50035654580987,0.533237229827275,0.151693751743908,200,199,1,0,-23.758447321699,0.0179757435052926
4.44175601534103,0.531408829614591,0.14949538904276,200,199,1,0,-23.7637463426325,0.021053427688811
4.54437567370055,0.524574678623242,0.146437882449664,200,199,1,0,-23.7784524186212,0.0169936133935982
4.34887056758398,0.550190875281238,0.148141285519597,200,199,1,0,-23.7816703389464,0.0276743204040845
4.49248155946097,0.523660821489223,0.149605299037124,200,199,1,0,-23.8061939802334,0.0204547758573056
4.14767935324119,0.564531179752259,0.150996891320059,200,199,1,0,-23.8284126960231,0.0139093397093138
4.49048262011755,0.478483829849808,0.150288659104896,200,199,1,0,-23.9081496826016,0.0103797495405372
4.52515418823026,0.463984345319105,0.151286984745241,200,199,1,0,-23.9941191852391,0.0169582631821471
3.573878928529,0.779605019691184,0.153958644601324,200,199,1,0,-25.1979178178128,0.0398513848824241
3.61195793566135,0.801481720958311,0.143653363234097,200,199,1,0,-25.367953880254,0.0328442903904629
3.54549075012997,0.822631589467351,0.154189837428401,200,199,1,0,-25.4605326118202,0.040872868905673
3.42027386155395,0.977936998478185,0.163316150033799,200,199,1,0,-26.3066782806705,0.0615205072093757
3.52475907134173,1.16163242491845,0.151817156491727,200,199,1,0,-26.802374244425,0.111348992834082
3.11332633712972,1.34291556773415,0.167426750603199,200,199,1,0,-27.011036913738,0.0636201975459548
3.08598276592176,1.28084625552844,0.173178819763914,200,199,1,0,-27.0270769593924,0.0708797203284042
3.19785353571438,1.35903560714381,0.174598467389066,200,199,1,0,-27.1142243976195,0.0569979496014211
2.98006858972571,1.44080741413072,0.185861805965363,200,199,1,0,-27.3786689069311,0.0922099744318123
2.94624743835589,1.51883120298905,0.202757356032516,200,199,1,0,-27.5153242720878,0.05950964048364
2.57671348973689,1.81292004882319,0.253259138178061,200,199,1,0,-28.8337732534936,0.0736186646641981
