"Beta","Gamma","Rho","N","S0","I0","R0","loglik","loglik.se"
1.10233307415335,0.125386428537365,0.206661021489214,590,256,4,330,-43.6466088143892,0.0150033251369537
1.08843312905969,0.117219570149635,0.210730690376989,590,256,4,330,-43.6478776901932,0.0114281959928669
1.09449005864506,0.114381831756277,0.209372372952768,590,256,4,330,-43.6497251934286,0.0126394127494543
1.0938279398457,0.121183091071293,0.208966290240315,590,256,4,330,-43.6551706013125,0.0258565297760485
1.10563481028353,0.114467355911069,0.210237878044923,590,256,4,330,-43.6629636143507,0.0195531793176339
1.10401978104993,0.12219611945067,0.211583328333594,590,256,4,330,-43.6631258782803,0.0178940881096778
1.08826021448009,0.116994280421579,0.209269833773618,590,256,4,330,-43.6631837935377,0.0173852198704409
1.10034688980384,0.119316108549688,0.209713857846866,590,256,4,330,-43.6643792219976,0.0174467713941805
1.09935319840824,0.113885591384246,0.210945917308253,590,256,4,330,-43.6664983129847,0.0157522035856321
1.11006561511544,0.114988675082415,0.209480280958197,590,256,4,330,-43.6675562652876,0.0193400461495551
1.08850331246961,0.124875946206248,0.212662484457296,590,256,4,330,-43.6677991087002,0.0169506939379011
1.11406748936296,0.111728173035016,0.208762150079788,590,256,4,330,-43.6684367022933,0.0258976897125724
1.10568838035799,0.119000739105213,0.210308040386875,590,256,4,330,-43.6709745284397,0.0178487266024846
1.11004531615428,0.113177885609877,0.210428851626127,590,256,4,330,-43.6729232290875,0.0201468641843635
1.10991625168905,0.126636172313836,0.208497585585352,590,256,4,330,-43.6737568553753,0.0214734567166208
1.10867430730266,0.121786234246526,0.207528695924323,590,256,4,330,-43.675370783749,0.0124682795566475
1.11885898560594,0.116702509950477,0.208781370380131,590,256,4,330,-43.6757857228242,0.0116847740642643
1.09113876628625,0.120958679648577,0.210512980493813,590,256,4,330,-43.6758040713675,0.0127121356548848
1.0820915800727,0.132067661896609,0.212203971007434,590,256,4,330,-43.6759833020286,0.0200863057111871
1.11213123875001,0.119606653717442,0.208093302762367,590,256,4,330,-43.6784643091508,0.0173317600138057
1.12094171729515,0.118331445654658,0.211907099159542,590,256,4,330,-43.6800742351827,0.015137125094294
1.10955835707095,0.119367675772383,0.209831962715181,590,256,4,330,-43.6816701115962,0.0105500841068174
1.11098320084293,0.1170430747748,0.210575921302845,590,256,4,330,-43.6823124985557,0.0203778546107785
1.09988851225006,0.122544206191274,0.210624380042759,590,256,4,330,-43.6823276671825,0.0162440948706972
1.08401378833252,0.131156618027731,0.210209469277449,590,256,4,330,-43.6825705006451,0.0255724487298651
1.09423569482895,0.13865652425107,0.212731006209228,590,256,4,330,-43.6827954154869,0.0191467393618279
1.10089810573278,0.126702575697848,0.208642323159899,590,256,4,330,-43.6829033216073,0.0208325494241286
1.11571412380363,0.1094668774987,0.208645353013474,590,256,4,330,-43.6860075015233,0.0129416270626239
1.10823411437285,0.124615863418562,0.211195252506208,590,256,4,330,-43.6868583039571,0.0239763886310426
1.12838028580157,0.114518588965426,0.210561579887052,590,256,4,330,-43.6878884149765,0.0175687509268793
1.09001551770931,0.12827967094972,0.210352207293879,590,256,4,330,-43.6891498572101,0.016682485071651
1.1069845760218,0.118144956092397,0.21012930280376,590,256,4,330,-43.6901843665123,0.0129294329315887
1.1052434332021,0.120598353094771,0.209357530403517,590,256,4,330,-43.6914021380944,0.0195029060894114
1.13096924139656,0.121064239966345,0.208616228757028,590,256,4,330,-43.6921029053106,0.0152797401003635
1.10035886820728,0.120639261950092,0.208902861654225,590,256,4,330,-43.6925211356183,0.0304279726425706
1.10283607849092,0.118872617224623,0.21399173277351,590,256,4,330,-43.6972064805003,0.0206297137800554
1.10722051201669,0.125963695873682,0.213913879708082,590,256,4,330,-43.6980379949779,0.0170977712264464
1.09701326964246,0.111672648888285,0.211133671601839,590,256,4,330,-43.6983159682954,0.0222957473903868
1.11290073241646,0.115741754118031,0.210682531151118,590,256,4,330,-43.6986309539797,0.0126212358190773
1.09403338726411,0.130463989427325,0.21143359283411,590,256,4,330,-43.6986900948039,0.0183503868832233
1.1092727608779,0.127402645795078,0.207051554981109,590,256,4,330,-43.7000851949901,0.0132027028675194
1.10175015441611,0.118367001899512,0.209718584988923,590,256,4,330,-43.7003156618335,0.0130470285956014
1.09428662830965,0.120125060147471,0.212625410482044,590,256,4,330,-43.7012475883113,0.00593404864714726
1.13700695207224,0.113596221744254,0.209851972880854,590,256,4,330,-43.7013660639056,0.0173740394268323
1.10680633778115,0.109541314603048,0.210369961062502,590,256,4,330,-43.7026441147465,0.014972631790184
1.0924794324191,0.121065121773884,0.210448077803966,590,256,4,330,-43.703691685863,0.0200796901809369
1.07810384288068,0.133888785190963,0.210404047699193,590,256,4,330,-43.7042456752574,0.0202986639072011
1.07357930566069,0.123044308098475,0.212746471780342,590,256,4,330,-43.7052849058091,0.0148404160933744
1.11885968906456,0.116709677816554,0.210413317991263,590,256,4,330,-43.7064176865858,0.0163819513388953
1.10744235728096,0.109304067176613,0.210961121664301,590,256,4,330,-43.7074513615543,0.0151382071461176
1.09011989483232,0.130831443130825,0.212703863897411,590,256,4,330,-43.7079720693205,0.0195304638374332
1.10759113535229,0.116190510615844,0.210385786468145,590,256,4,330,-43.7093167989376,0.0160007812686323
1.1087581339601,0.125922551890211,0.209714618573775,590,256,4,330,-43.7098977218488,0.0126556743306361
1.08851988956255,0.12151692211918,0.211795540893446,590,256,4,330,-43.7100858331557,0.0157105208238426
1.14281224665103,0.10757456283296,0.209728544500913,590,256,4,330,-43.7104849808085,0.0116865747846599
1.12277579768303,0.115872560984045,0.209831864621115,590,256,4,330,-43.7111773067195,0.016936708044769
1.1085943768761,0.11469028491994,0.212071987806201,590,256,4,330,-43.7112243538906,0.0204841795837064
1.09228527873912,0.129555672162603,0.211351374468243,590,256,4,330,-43.7135496916496,0.0224209103106734
1.11679456399377,0.114153228990447,0.214458422915481,590,256,4,330,-43.7152440071661,0.0161977377425315
1.10617726275588,0.120200699978852,0.211887638074871,590,256,4,330,-43.7162059775348,0.0232555806340849
